26 M 2:06:25
30 M 2:07:37
31 M 2:11:39
25 M 2:13:53
36 M 2:15:10
24 M 2:15:36
30 M 2:16:20
31 M 2:16:41
32 M 2:17:33
27 M 2:18:48
23 M 2:20:29
24 M 2:20:43
25 M 2:20:48
29 M 2:22:01
28 M 2:22:17
27 M 2:23:10
31 M 2:23:22
24 M 2:23:50
24 M 2:24:22
24 M 2:25:12
27 M 2:27:03
33 M 2:27:16
34 F 2:27:17
26 M 2:27:26
31 M 2:27:35
25 M 2:28:08
29 M 2:28:11
27 M 2:28:21
28 M 2:28:58
30 M 2:29:19
26 F 2:29:32
37 M 2:29:46
33 M 2:30:16
39 M 2:30:18
32 F 2:30:19
32 M 2:30:44
38 F 2:30:57
26 M 2:31:01
37 M 2:31:24
37 M 2:31:31
25 F 2:31:33
28 M 2:31:33
28 M 2:31:45
32 M 2:31:54
27 M 2:31:57
24 M 2:32:15
44 F 2:32:25
22 M 2:32:40
25 F 2:32:41
31 M 2:33:01
36 M 2:33:06
26 F 2:33:06
32 M 2:33:16
40 M 2:33:20
34 M 2:33:54
28 F 2:34:04
34 F 2:34:16
28 M 2:34:24
24 M 2:34:58
27 F 2:35:09
30 M 2:35:24
30 M 2:35:27
23 M 2:35:36
28 F 2:35:39
29 F 2:35:41
27 M 2:35:42
41 M 2:35:50
32 M 2:35:58
23 M 2:35:59
39 M 2:36:24
46 M 2:36:26
40 M 2:36:34
26 M 2:36:37
24 M 2:36:41
26 M 2:36:46
48 M 2:36:53
30 M 2:37:00
38 M 2:37:08
26 M 2:37:29
24 M 2:37:42
30 M 2:37:44
29 M 2:37:47
27 M 2:38:07
31 F 2:38:13
24 M 2:38:29
22 M 2:38:41
31 M 2:38:42
23 M 2:38:48
25 M 2:38:59
27 M 2:39:10
32 M 2:39:14
44 M 2:39:15
33 M 2:39:38
22 M 2:39:38
30 M 2:39:39
36 M 2:39:40
26 M 2:39:40
21 M 2:39:42
26 M 2:39:47
31 M 2:40:05
36 M 2:40:10
29 M 2:40:18
34 M 2:40:32
23 M 2:40:34
39 M 2:40:50
21 M 2:40:53
36 M 2:40:58
26 M 2:41:02
36 M 2:41:07
22 M 2:41:22
35 M 2:41:25
30 M 2:41:33
32 M 2:41:50
24 F 2:42:06
29 M 2:42:15
32 M 2:42:19
49 M 2:42:19
30 M 2:42:23
37 M 2:42:26
28 M 2:42:30
26 M 2:42:31
28 M 2:42:33
25 M 2:42:33
23 M 2:42:59
26 M 2:43:02
27 M 2:43:09
26 M 2:43:09
34 M 2:43:12
26 M 2:43:30
23 M 2:43:48
23 M 2:43:49
28 M 2:43:53
22 M 2:43:56
21 M 2:44:05
31 M 2:44:06
29 M 2:44:07
24 M 2:44:13
36 M 2:44:15
29 F 2:44:28
30 M 2:44:37
25 M 2:44:38
34 M 2:44:44
25 M 2:44:48
38 M 2:44:52
28 F 2:45:04
25 M 2:45:07
30 M 2:45:22
32 M 2:45:33
34 M 2:45:35
26 M 2:45:38
25 M 2:45:39
27 M 2:45:47
24 M 2:45:52
31 M 2:45:58
41 M 2:46:01
33 M 2:46:09
25 M 2:46:15
31 M 2:46:22
42 M 2:46:30
43 M 2:46:38
39 M 2:46:41
22 M 2:46:43
45 M 2:46:45
36 M 2:46:51
50 M 2:46:56
22 M 2:47:06
28 M 2:47:09
30 M 2:47:18
26 M 2:47:20
27 M 2:47:35
29 M 2:47:47
42 M 2:47:54
26 M 2:48:01
34 M 2:48:09
44 M 2:48:12
31 M 2:48:17
24 M 2:48:29
43 M 2:48:50
42 M 2:48:51
29 M 2:48:59
24 M 2:48:59
25 M 2:49:04
30 F 2:49:15
39 M 2:49:26
22 M 2:49:33
40 M 2:49:42
38 M 2:49:43
25 M 2:49:44
43 M 2:49:47
32 M 2:49:48
34 M 2:49:51
30 M 2:49:57
31 M 2:49:58
46 M 2:50:03
24 M 2:50:03
40 M 2:50:19
41 M 2:50:21
31 M 2:50:25
30 M 2:50:29
48 M 2:50:35
36 M 2:50:36
31 M 2:50:37
29 M 2:50:41
29 M 2:50:42
32 M 2:51:03
32 M 2:51:04
40 M 2:51:15
32 M 2:51:16
31 M 2:51:18
51 M 2:51:20
44 M 2:51:21
28 M 2:51:31
28 M 2:51:46
36 M 2:51:46
36 M 2:51:50
26 M 2:51:51
42 M 2:51:56
27 F 2:51:59
40 M 2:51:59
46 M 2:52:01
27 F 2:52:05
41 M 2:52:10
24 M 2:52:14
47 M 2:52:20
41 M 2:52:23
31 M 2:52:26
28 M 2:52:27
35 M 2:52:28
49 M 2:52:30
38 M 2:52:33
33 M 2:52:41
31 M 2:52:44
24 M 2:52:51
33 M 2:52:55
50 M 2:52:57
27 M 2:52:59
35 M 2:53:11
32 M 2:53:12
28 M 2:53:20
20 F 2:53:23
26 M 2:53:24
22 M 2:53:25
38 M 2:53:26
37 M 2:53:28
28 M 2:53:29
34 M 2:53:33
24 M 2:53:41
49 M 2:53:48
27 M 2:53:50
37 M 2:53:50
34 M 2:53:55
32 M 2:53:55
28 M 2:53:56
22 M 2:54:01
41 M 2:54:04
39 M 2:54:07
34 M 2:54:08
30 M 2:54:14
33 M 2:54:17
38 M 2:54:18
35 M 2:54:20
37 M 2:54:21
39 M 2:54:28
37 M 2:54:33
41 M 2:54:43
37 M 2:54:48
32 M 2:54:48
32 M 2:54:49
26 M 2:54:53
29 M 2:54:55
